ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"159.89.172.0","elite","AS14061","IN","DigitalOcean, LLC","179","DigitalOcean, LLC","80","socks4","3083","1","2026-05-23T01:23:36.416Z","61","3032","4991"
"202.165.47.49","elite","AS17538","ID","Circlecom","164","N/A","5678","socks4","129","1","2026-05-23T01:23:36.419Z","99","12084","12193"
"192.111.134.10","elite","AS46562","US","Performive LLC","178","Total Server Solutions L.L.C","4145","socks5","3071","1","2026-05-23T01:23:36.328Z","98","97","99"
"197.234.14.36","elite","AS36902","SC","Intelvision","120","Intelvision Ltd","4145","socks4","3809","1","2026-05-23T01:23:36.332Z","100","238","238"
"103.134.180.241","elite","AS135758","IN","Rds It Solutions","177","Rds It Solutions","4153","socks4","1281","1","2026-05-23T01:23:36.417Z","100","5509","5534"
"184.178.172.23","elite","AS22773","US","Cox Communications Inc.","169","Cox Communications Inc.","4145","socks5","4873","1","2026-05-23T01:23:36.341Z","100","100","100"
"45.131.7.225","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","socks4","5008","1","2026-05-23T01:23:36.345Z","100","587","587"
"103.214.156.254","elite","AS152177","BD","Fuad Muhammad Shorfuddin","198","N/A","5678","socks4","3202","1","2026-05-23T01:23:16.121Z","94","11558","12258"
"178.45.93.176","elite","AS12389","RU","PJSC Rostelecom","65","JSC VolgaTelecom Samara branch","7788","socks5","4403","1","2026-05-23T01:23:16.011Z","56","2996","5344"
"103.105.126.177","elite","AS137098","IN","Delix Net Solutions Pvt. Ltd","125","Delix Net Solution Pvt. Ltd","82","socks4","5002","1","2026-05-23T01:23:16.011Z","99","526","529"
"51.68.93.11","elite","AS16276","FR","OVH SAS","13","OVH","46979","socks5","2008","1","2026-05-23T01:23:16.122Z","96","11695","12185"
"185.230.190.89","elite","AS212706","FI","Livi Hosting LTD","29","ZTV CORP LLC","3333","socks5","172","1","2026-05-23T01:23:16.012Z","100","35","35"
"38.127.179.226","elite","N/A","US","Cogent Communications","85","N/A","55994","socks5","3484","1","2026-05-23T01:23:16.124Z","100","12150","12182"
"92.55.8.70","elite","AS3226","RU","MARK-ITT","60","N/A","8888","socks4","4790","61","2026-05-23T01:23:16.125Z","99","964","970"
"51.75.233.122","elite","AS16276","ES","OVH SAS","17","Raiola Networks SL","49623","socks4","3428","1","2026-05-23T01:23:16.123Z","99","3501","3519"
"125.27.3.232","elite","AS23969","TH","TOT Public Company Limited","203","TOT Public Company Limited","8080","socks4","3584","1","2026-05-23T01:23:15.946Z","49","821","1672"
"177.38.5.21","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","200","Pontocom Fibra Optica Ltda","4153","socks4","4916","1","2026-05-23T01:23:15.940Z","77","9402","12156"
"112.78.161.191","elite","AS17451","ID","Biznet Networks","170","Metronet","8089","socks5","3630","1","2026-05-23T01:23:15.937Z","89","10812","12138"
"34.111.135.19","elite","AS396982","US","Google LLC","63","Google Cloud","80","socks4","4793","1","2026-05-23T01:23:15.932Z","100","3560","3561"
"190.2.134.28","elite","AS49981","NL","WorldStream B.V.","14","WorldStream B.V","11586","socks5","2691","1","2026-05-23T01:23:15.931Z","100","4440","4441"
"49.12.148.201","elite","AS24940","DE","Hetzner Online GmbH","11","Hetzner","60394","socks4","1167","1","2026-05-23T01:23:15.925Z","85","4520","5332"
"189.173.67.229","elite","AS8151","MX","UNINET","154","Gestión de direccionamiento UniNet","8080","socks4","2979","1","2026-05-23T01:23:15.923Z","99","347","351"
"103.135.102.161","elite","AS38136","HK","ASSN-AKRN","238","N/A","8081","http","2276","31102","2026-05-23T01:23:15.930Z","98","91","93"
"139.180.152.151","elite","AS20473","SG","SGP VULTR","248","N/A","8888","socks4","4981","1","2026-05-23T01:23:15.943Z","42","5129","12204"
"179.1.196.199","elite","AS18678","CO","Internexa S.a. E.S.P","176","SISTEMAS, TELECOMUNICACIONES Y BIOMEDICOS DE COLOMBIA","999","socks5","4288","1","2026-05-23T01:23:15.943Z","100","292","293"
"76.164.202.90","elite","AS25198","FR","Interkvm Host SRL","7","ZetServers Frankfurt","443","socks4","4715","1","2026-05-23T01:23:15.948Z","100","1868","1871"
"5.75.235.252","elite","AS24940","DE","Hetzner Online GmbH","12","Hetzner","30212","socks5","5171","1","2026-05-23T01:22:51.230Z","100","297","297"
"43.157.33.19","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","11","Tencent Cloud Computing","443","socks5","3922","1","2026-05-23T01:22:51.229Z","45","5551","12210"
"177.131.29.213","elite","AS262378","BR","Compuservice Empreendimentos Ltda","208","Compuservice Empreendimentos Ltda","4153","socks4","3192","1","2026-05-23T01:22:51.129Z","98","12097","12307"
"190.109.72.33","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","188","Saga Fibra Comunicacao Ltda","33633","socks4","2687","1","2026-05-23T01:22:51.143Z","99","12186","12260"
"91.151.88.161","elite","AS212219","TR","Hosting Dunyam Bilisim Teknolojileri Ticaret Limited Sirketi","38","Hosting Dunyam internet Hizmetleri","2151","socks5","4865","1","2026-05-23T01:22:51.133Z","99","291","293"
"137.220.61.187","elite","AS20473","US","The Constant Company","101","Vultr Holdings, LLC","10024","socks4","4588","1","2026-05-23T01:22:51.132Z","98","12021","12208"
"102.66.239.11","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","195","Herotel","5678","socks4","4824","1","2026-05-23T01:22:51.142Z","65","7910","12193"
"129.226.92.230","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","236","Aceville Pte.ltd","443","socks5","4419","1","2026-05-23T01:22:51.121Z","91","11137","12178"
